Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (100, 31, 17)
  ✓ Samples: 3,214,476 | Chi-Sq Stat: 36040.1689 | Chi-Sq p-value: 0.0 | MAD: 0.00867 | KS D-Max: 0.02067 | Dmix: 0.039012 | Digital Mix Speed: 750.532 | Time: 3.02s

[16/125] Analyzing (a=98, b=32, c=15)...
  ✓ Samples: 3,174,629 | Chi-Sq Stat: 89814.5393 | Chi-Sq p-value: 0.0 | MAD: 0.01649 | KS D-Max: 0.03098 | Dmix: 0.074226 | Digital Mix Speed: 394.281 | Time: 3.23s

[17/125] Analyzing (a=98, b=32, c=16)...
  ✓ Samples: 3,258,687 | Chi-Sq Stat: 82542.0053 | Chi-Sq p-value: 0.0 | MAD: 0.01547 | KS D-Max: 0.02875 | Dmix: 0.069628 | Digital Mix Speed: 421.011 | Time: 3.15s

[18/125] Analyzing (a=98, b=32, c=17)...
  ✓ Samples: 3,174,628 | Chi-Sq Stat: 89810.8636 | Chi-Sq p-value: 0.0 | MAD: 0.01649 | KS D-Max: 0.03098 | Dmix: 0.074226 | Digital Mix Speed: 394.281 | Time: 2.98s

[19/125] Analyzing (a=98, b=32, c=18)...
  ✓ Samples: 3,257,115 | Chi-Sq Stat: 82656.3759 | Chi-Sq p-value: 0.0 | MAD: 0.01549 | KS D-Max: 0.02879 | Dmix: 0.069690 | Digital Mix Speed: 420.454 | Time: 3.32s

[20/125] Analyzing (a=98, b=32, c=19)...
  ✓ Samples: 3,174,628 | Chi-Sq Stat: 89811.3413 | Chi-Sq p-value: 0.0 | MAD: 0.01649 | KS D-Max: 0.03098 | Dmix: 0.074226 | Digital Mix Speed: 394.281 | Time: 2.96s

[21/125] Analyzing (a=98, b=33, c=15)...
  ✓ Samples: 3,187,401 | Chi-Sq Stat: 3675.7811 | Chi-Sq p-value: 0.0 | MAD: 0.00329 | KS D-Max: 0.00841 | Dmix: 0.014824 | Digital Mix Speed: 1976.728 | Time: 3.13s

[22/125] Analyzing (a=98, b=33, c=16)...
  ✓ Samples: 3,187,562 | Chi-Sq Stat: 3670.8120 | Chi-Sq p-value: 0.0 | MAD: 0.00329 | KS D-Max: 0.00843 | Dmix: 0.014804 | Digital Mix Speed: 1976.735 | Time: 3.12s

[23/125] Analyzing (a=98, b=33, c=17)...
  ✓ Samples: 3,187,392 | Chi-Sq Stat: 3680.0880 | Chi-Sq p-value: 0.0 | MAD: 0.00330 | KS D-Max: 0.00842 | Dmix: 0.014831 | Digital Mix Speed: 1970.738 | Time: 3.00s

[24/125] Analyzing (a=98, b=33, c=18)...
  ✓ Samples: 3,187,462 | Chi-Sq Stat: 3687.1204 | Chi-Sq p-value: 0.0 | MAD: 0.00330 | KS D-Max: 0.00842 | Dmix: 0.014831 | Digital Mix Speed: 1970.741 | Time: 3.06s

[25/125] Analyzing (a=98, b=33, c=19)...
  ✓ Samples: 3,187,474 | Chi-Sq Stat: 3695.7134 | Chi-Sq p-value: 0.0 | MAD: 0.00330 | KS D-Max: 0.00845 | Dmix: 0.014855 | Digital Mix Speed: 1970.741 | Time: 3.00s

[26/125] Analyzing (a=99, b=29, c=15)...
  ✓ Samples: 3,266,133 | Chi-Sq Stat: 2793.9266 | Chi-Sq p-value: 0.0 | MAD: 0.00234 | KS D-Max: 0.00652 | Dmix: 0.010516 | Digital Mix Speed: 2783.775 | Time: 3.33s

[27/125] Analyzing (a=99, b=29, c=16)...
  ✓ Samples: 3,304,677 | Chi-Sq Stat: 2476.3390 | Chi-Sq p-value: 0.0 | MAD: 0.00212 | KS D-Max: 0.00650 | Dmix: 0.009547 | Digital Mix Speed: 3075.061 | Time: 3.17s

[28/125] Analyzing (a=99, b=29, c=17)...
  ✓ Samples: 3,304,645 | Chi-Sq Stat: 2474.4761 | Chi-Sq p-value: 0.0 | MAD: 0.00212 | KS D-Max: 0.00650 | Dmix: 0.009545 | Digital Mix Speed: 3075.059 | Time: 3.18s

[29/125] Analyzing (a=99, b=29, c=18)...
  ✓ Samples: 3,266,119 | Chi-Sq Stat: 2792.4342 | Chi-Sq p-value: 0.0 | MAD: 0.00234 | KS D-Max: 0.00651 | Dmix: 0.010518 | Digital Mix Speed: 2783.774 | Time: 3.33s

[30/125] Analyzing (a=99, b=29, c=19)...
  ✓ Samples: 3,304,587 | Chi-Sq Stat: 2475.5738 | Chi-Sq p-value: 0.0 | MAD: 0.00212 | KS D-Max: 0.00649 | Dmix: 0.009545 | Digital Mix Speed: 3075.055 | Time: 3.11s

[31/125] Analyzing (a=99, b=30, c=15)...
  ✓ Samples: 3,223,512 | Chi-Sq Stat: 5823.4845 | Chi-Sq p-value: 0.0 | MAD: 0.00369 | KS D-Max: 0.01069 | Dmix: 0.016596 | Digital Mix Speed: 1763.775 | Time: 3.12s

[32/125] Analyzing (a=99, b=30, c=16)...
  ✓ Samples: 3,219,073 | Chi-Sq Stat: 5850.1215 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016770 | Digital Mix Speed: 1744.700 | Time: 3.17s

[33/125] Analyzing (a=99, b=30, c=17)...
  ✓ Samples: 3,219,073 | Chi-Sq Stat: 5848.7048 | Chi-Sq p-value: 0.0 | MAD: 0.00372 | KS D-Max: 0.01078 | Dmix: 0.016762 | Digital Mix Speed: 1749.390 | Time: 3.13s

[34/125] Analyzing (a=99, b=30, c=18)...
  ✓ Samples: 3,785,746 | Chi-Sq Stat: 2934.8416 | Chi-Sq p-value: 0.0 | MAD: 0.00241 | KS D-Max: 0.00616 | Dmix: 0.010863 | Digital Mix Speed: 2729.523 | Time: 3.83s

[35/125] Analyzing (a=99, b=30, c=19)...
  ✓ Samples: 3,219,073 | Chi-Sq Stat: 5849.3610 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01078 | Dmix: 0.016765 | Digital Mix Speed: 1744.700 | Time: 3.22s

[36/125] Analyzing (a=99, b=31, c=15)...
  ✓ Samples: 3,227,947 | Chi-Sq Stat: 35773.2771 | Chi-Sq p-value: 0.0 | MAD: 0.00862 | KS D-Max: 0.02042 | Dmix: 0.038782 | Digital Mix Speed: 755.096 | Time: 3.17s

[37/125] Analyzing (a=99, b=31, c=16)...
  ✓ Samples: 3,253,022 | Chi-Sq Stat: 35352.2498 | Chi-Sq p-value: 0.0 | MAD: 0.00851 | KS D-Max: 0.01998 | Dmix: 0.038317 | Digital Mix Speed: 765.251 | Time: 3.19s

[38/125] Analyzing (a=99, b=31, c=17)...
  ✓ Samples: 3,253,078 | Chi-Sq Stat: 35340.5439 | Chi-Sq p-value: 0.0 | MAD: 0.00851 | KS D-Max: 0.02001 | Dmix: 0.038300 | Digital Mix Speed: 765.252 | Time: 3.23s

[39/125] Analyzing (a=99, b=31, c=18)...
  ✓ Samples: 3,213,079 | Chi-Sq Stat: 36053.4658 | Chi-Sq p-value: 0.0 | MAD: 0.00870 | KS D-Max: 0.02063 | Dmix: 0.039159 | Digital Mix Speed: 747.922 | Time: 3.24s

[40/125] Analyzing (a=99, b=31, c=19)...
  ✓ Samples: 3,253,112 | Chi-Sq Stat: 35334.0143 | Chi-Sq p-value: 0.0 | MAD: 0.00851 | KS D-Max: 0.02002 | Dmix: 0.038290 | Digital Mix Speed: 765.253 | Time: 3.10s

[41/125] Analyzing (a=99, b=32, c=15)...
  ✓ Samples: 3,176,001 | Chi-Sq Stat: 89789.8600 | Chi-Sq p-value: 0.0 | MAD: 0.01649 | KS D-Max: 0.03098 | Dmix: 0.074197 | Digital Mix Speed: 394.292 | Time: 3.20s

[42/125] Analyzing (a=99, b=32, c=16)...
  ✓ Samples: 3,181,853 | Chi-Sq Stat: 89459.8317 | Chi-Sq p-value: 0.0 | MAD: 0.01643 | KS D-Max: 0.03087 | Dmix: 0.073934 | Digital Mix Speed: 395.781 | Time: 3.18s

[43/125] Analyzing (a=99, b=32, c=17)...
  ✓ Samples: 3,181,841 | Chi-Sq Stat: 89434.7036 | Chi-Sq p-value: 0.0 | MAD: 0.01643 | KS D-Max: 0.03087 | Dmix: 0.073924 | Digital Mix Speed: 395.781 | Time: 3.05s

[44/125] Analyzing (a=99, b=32, c=18)...
  ✓ Samples: 3,176,003 | Chi-Sq Stat: 89795.7002 | Chi-Sq p-value: 0.0 | MAD: 0.01649 | KS D-Max: 0.03098 | Dmix: 0.074194 | Digital Mix Speed: 394.292 | Time: 3.33s

[45/125] Analyzing (a=99, b=32, c=19)...
  ✓ Samples: 3,181,852 | Chi-Sq Stat: 89431.2371 | Chi-Sq p-value: 0.0 | MAD: 0.01643 | KS D-Max: 0.03086 | Dmix: 0.073927 | Digital Mix Speed: 395.781 | Time: 3.13s

[46/125] Analyzing (a=99, b=33, c=15)...
  ✓ Samples: 3,131,218 | Chi-Sq Stat: 3149.5798 | Chi-Sq p-value: 0.0 | MAD: 0.00310 | KS D-Max: 0.00829 | Dmix: 0.013943 | Digital Mix Speed: 2095.391 | Time: 3.03s

[47/125] Analyzing (a=99, b=33, c=16)...
  ✓ Samples: 3,131,218 | Chi-Sq Stat: 3150.5481 | Chi-Sq p-value: 0.0 | MAD: 0.00310 | KS D-Max: 0.00829 | Dmix: 0.013947 | Digital Mix Speed: 2095.391 | Time: 3.23s

[48/125] Analyzing (a=99, b=33, c=17)...
  ✓ Samples: 3,131,218 | Chi-Sq Stat: 3150.7570 | Chi-Sq p-value: 0.0 | MAD: 0.00310 | KS D-Max: 0.00828 | Dmix: 0.013947 | Digital Mix Speed: 2095.391 | Time: 2.97s

[49/125] Analyzing (a=99, b=33, c=18)...
  ✓ Samples: 3,131,216 | Chi-Sq Stat: 3147.2318 | Chi-Sq p-value: 0.0 | MAD: 0.00310 | KS D-Max: 0.00828 | Dmix: 0.013941 | Digital Mix Speed: 2095.391 | Time: 3.07s

[50/125] Analyzing (a=99, b=33, c=19)...
  ✓ Samples: 3,131,216 | Chi-Sq Stat: 3148.5983 | Chi-Sq p-value: 0.0 | MAD: 0.00310 | KS D-Max: 0.00828 | Dmix: 0.013943 | Digital Mix Speed: 2095.391 | Time: 3.09s

[51/125] Analyzing (a=100, b=29, c=15)...
  ✓ Samples: 3,255,358 | Chi-Sq Stat: 2878.5899 | Chi-Sq p-value: 0.0 | MAD: 0.00239 | KS D-Max: 0.00648 | Dmix: 0.010733 | Digital Mix Speed: 2724.937 | Time: 3.15s

[52/125] Analyzing (a=100, b=29, c=16)...
  ✓ Samples: 3,265,946 | Chi-Sq Stat: 2765.3721 | Chi-Sq p-value: 0.0 | MAD: 0.00231 | KS D-Max: 0.00649 | Dmix: 0.010417 | Digital Mix Speed: 2819.917 | Time: 3.16s

[53/125] Analyzing (a=100, b=29, c=17)...
  ✓ Samples: 3,285,772 | Chi-Sq Stat: 2583.3203 | Chi-Sq p-value: 0.0 | MAD: 0.00220 | KS D-Max: 0.00644 | Dmix: 0.009879 | Digital Mix Speed: 2962.108 | Time: 3.27s

[54/125] Analyzing (a=100, b=29, c=18)...
  ✓ Samples: 3,265,933 | Chi-Sq Stat: 2769.3673 | Chi-Sq p-value: 0.0 | MAD: 0.00232 | KS D-Max: 0.00649 | Dmix: 0.010428 | Digital Mix Speed: 2807.762 | Time: 3.19s

[55/125] Analyzing (a=100, b=29, c=19)...
  ✓ Samples: 3,285,694 | Chi-Sq Stat: 2578.4577 | Chi-Sq p-value: 0.0 | MAD: 0.00219 | KS D-Max: 0.00643 | Dmix: 0.009856 | Digital Mix Speed: 2975.629 | Time: 3.13s

[56/125] Analyzing (a=100, b=30, c=15)...
  ✓ Samples: 3,219,055 | Chi-Sq Stat: 5853.5067 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016778 | Digital Mix Speed: 1744.699 | Time: 3.14s

[57/125] Analyzing (a=100, b=30, c=16)...
  ✓ Samples: 3,219,055 | Chi-Sq Stat: 5853.3711 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016774 | Digital Mix Speed: 1744.699 | Time: 3.19s

[58/125] Analyzing (a=100, b=30, c=17)...
  ✓ Samples: 3,219,055 | Chi-Sq Stat: 5851.9550 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016767 | Digital Mix Speed: 1744.699 | Time: 3.07s

[59/125] Analyzing (a=100, b=30, c=18)...
  ✓ Samples: 3,219,055 | Chi-Sq Stat: 5852.5646 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016770 | Digital Mix Speed: 1744.699 | Time: 3.15s

[60/125] Analyzing (a=100, b=30, c=19)...
  ✓ Samples: 3,219,055 | Chi-Sq Stat: 5852.6116 | Chi-Sq p-value: 0.0 | MAD: 0.00373 | KS D-Max: 0.01079 | Dmix: 0.016769 | Digital Mix Speed: 1744.699 | Time: 3.14s

[61/125] Analyzing (a=100, b=31, c=15)...
  ✓ Samples: 3,219,887 | Chi-Sq Stat: 35804.7419 | Chi-Sq p-value: 0.0 | MAD: 0.00868 | KS D-Max: 0.02044 | Dmix: 0.039070 | Digital Mix Speed: 749.751 | Time: 3.13s

[62/125] Analyzing (a=100, b=31, c=16)...
  ✓ Samples: 3,243,460 | Chi-Sq Stat: 35089.8187 | Chi-Sq p-value: 0.0 | MAD: 0.00857 | KS D-Max: 0.01998 | Dmix: 0.038543 | Digital Mix Speed: 759.744 | Time: 3.14s

[63/125] Analyzing (a=100, b=31, c=17)...
  ✓ Samples: 3,252,576 | Chi-Sq Stat: 34770.4012 | Chi-Sq p-value: 0.0 | MAD: 0.00851 | KS D-Max: 0.01981 | Dmix: 0.038280 | Digital Mix Speed: 765.244 | Time: 3.27s

[64/125] Analyzing (a=100, b=31, c=18)...
  ✓ Samples: 3,252,617 | Chi-Sq Stat: 34785.0168 | Chi-Sq p-value: 0.0 | MAD: 0.00851 | KS D-Max: 0.01980 | Dmix: 0.038288 | Digital Mix Speed: 765.245 | Time: 3.20s

[65/125] Analyzing (a=100, b=31, c=19)...
  ✓ Samples: 3,252,694 | Chi-Sq Stat: 34783.5520 | Chi-Sq p-value: 0.0 | MAD: 0.00851 | KS D-Max: 0.01981 | Dmix: 0.038288 | Digital Mix Speed: 765.246 | Time: 3.13s

[66/125] Analyzing (a=100, b=32, c=15)...
  ✓ Samples: 3,174,584 | Chi-Sq Stat: 89911.0115 | Chi-Sq p-value: 0.0 | MAD: 0.01651 | KS D-Max: 0.03102 | Dmix: 0.074279 | Digital Mix Speed: 393.803 | Time: 3.27s

[67/125] Analyzing (a=100, b=32, c=16)...
  ✓ Samples: 3,198,349 | Chi-Sq Stat: 89260.7903 | Chi-Sq p-value: 0.0 | MAD: 0.01636 | KS D-Max: 0.03083 | Dmix: 0.073640 | Digital Mix Speed: 397.612 | Time: 3.13s

[68/125] Analyzing (a=100, b=32, c=17)...
  ✓ Samples: 3,174,583 | Chi-Sq Stat: 89907.5031 | Chi-Sq p-value: 0.0 | MAD: 0.01651 | KS D-Max: 0.03102 | Dmix: 0.074279 | Digital Mix Speed: 393.803 | Time: 3.05s

[69/125] Analyzing (a=100, b=32, c=18)...
  ✓ Samples: 3,174,583 | Chi-Sq Stat: 89906.4374 | Chi-Sq p-value: 0.0 | MAD: 0.01651 | KS D-Max: 0.03102 | Dmix: 0.074279 | Digital Mix Speed: 393.803 | Time: 3.22s

[70/125] Analyzing (a=100, b=32, c=19)...
  ✓ Samples: 3,174,583 | Chi-Sq Stat: 89906.1389 | Chi-Sq p-value: 0.0 | MAD: 0.01651 | KS D-Max: 0.03102 | Dmix: 0.074278 | Digital Mix Speed: 393.803 | Time: 3.04s

[71/125] Analyzing (a=100, b=33, c=15)...
  ✓ Samples: 3,136,135 | Chi-Sq Stat: 3193.0311 | Chi-Sq p-value: 0.0 | MAD: 0.00311 | KS D-Max: 0.00831 | Dmix: 0.013996 | Digital Mix Speed: 2088.873 | Time: 3.05s

[72/125] Analyzing (a=100, b=33, c=16)...
  ✓ Samples: 3,166,534 | Chi-Sq Stat: 3440.8846 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.00842 | Dmix: 0.014345 | Digital Mix Speed: 2037.801 | Time: 3.17s

[73/125] Analyzing (a=100, b=33, c=17)...
  ✓ Samples: 3,166,607 | Chi-Sq Stat: 3441.8332 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.00842 | Dmix: 0.014347 | Digital Mix Speed: 2037.804 | Time: 3.09s

[74/125] Analyzing (a=100, b=33, c=18)...
  ✓ Samples: 3,166,524 | Chi-Sq Stat: 3437.4273 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.00842 | Dmix: 0.014339 | Digital Mix Speed: 2037.800 | Time: 3.13s

[75/125] Analyzing (a=100, b=33, c=19)...
  ✓ Samples: 3,166,471 | Chi-Sq Stat: 3441.6107 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.00842 | Dmix: 0.014347 | Digital Mix Speed: 2037.798 | Time: 3.14s

[76/125] Analyzing (a=101, b=29, c=15)...
  ✓ Samples: 3,307,347 | Chi-Sq Stat: 2383.9539 | Chi-Sq p-value: 0.0 | MAD: 0.00202 | KS D-Max: 0.00642 | Dmix: 0.009103 | Digital Mix Speed: 3227.465 | Time: 3.29s

[77/125] Analyzing (a=101, b=29, c=16)...
  ✓ Samples: 3,307,331 | Chi-Sq Stat: 2377.8317 | Chi-Sq p-value: 0.0 | MAD: 0.00202 | KS D-Max: 0.00642 | Dmix: 0.009082 | Digital Mix Speed: 3227.464 | Time: 3.27s

[78/125] Analyzing (a=101, b=29, c=17)...
  ✓ Samples: 3,307,330 | Chi-Sq Stat: 2390.9677 | Chi-Sq p-value: 0.0 | MAD: 0.00202 | KS D-Max: 0.00642 | Dmix: 0.009110 | Digital Mix Speed: 3227.464 | Time: 3.51s

[79/125] Analyzing (a=101, b=29, c=18)...
  ✓ Samples: 3,307,298 | Chi-Sq Stat: 2388.9607 | Chi-Sq p-value: 0.0 | MAD: 0.00203 | KS D-Max: 0.00643 | Dmix: 0.009131 | Digital Mix Speed: 3211.563 | Time: 3.27s

[80/125] Analyzing (a=101, b=29, c=19)...
  ✓ Samples: 3,307,307 | Chi-Sq Stat: 2381.9583 | Chi-Sq p-value: 0.0 | MAD: 0.00202 | KS D-Max: 0.00643 | Dmix: 0.009104 | Digital Mix Speed: 3227.463 | Time: 3.17s

[81/125] Analyzing (a=101, b=30, c=15)...
  ✓ Samples: 3,271,451 | Chi-Sq Stat: 5508.4542 | Chi-Sq p-value: 0.0 | MAD: 0.00328 | KS D-Max: 0.00977 | Dmix: 0.014767 | Digital Mix Speed: 1986.201 | Time: 3.36s

[82/125] Analyzing (a=101, b=30, c=16)...
  ✓ Samples: 3,271,516 | Chi-Sq Stat: 5520.0013 | Chi-Sq p-value: 0.0 | MAD: 0.00329 | KS D-Max: 0.00978 | Dmix: 0.014795 | Digital Mix Speed: 1980.167 | Time: 3.19s

[83/125] Analyzing (a=101, b=30, c=17)...
  ✓ Samples: 3,271,496 | Chi-Sq Stat: 5504.0433 | Chi-Sq p-value: 0.0 | MAD: 0.00329 | KS D-Max: 0.00976 | Dmix: 0.014786 | Digital Mix Speed: 1980.166 | Time: 3.11s

[84/125] Analyzing (a=101, b=30, c=18)...
  ✓ Samples: 3,271,478 | Chi-Sq Stat: 5515.4727 | Chi-Sq p-value: 0.0 | MAD: 0.00329 | KS D-Max: 0.00978 | Dmix: 0.014803 | Digital Mix Speed: 1980.165 | Time: 3.41s

[85/125] Analyzing (a=101, b=30, c=19)...
  ✓ Samples: 3,271,421 | Chi-Sq Stat: 5505.3558 | Chi-Sq p-value: 0.0 | MAD: 0.00329 | KS D-Max: 0.00976 | Dmix: 0.014783 | Digital Mix Speed: 1980.163 | Time: 3.17s

[86/125] Analyzing (a=101, b=31, c=15)...
  ✓ Samples: 3,243,019 | Chi-Sq Stat: 34519.5923 | Chi-Sq p-value: 0.0 | MAD: 0.00855 | KS D-Max: 0.01981 | Dmix: 0.038473 | Digital Mix Speed: 761.515 | Time: 3.18s

[87/125] Analyzing (a=101, b=31, c=16)...
  ✓ Samples: 3,243,053 | Chi-Sq Stat: 34549.4513 | Chi-Sq p-value: 0.0 | MAD: 0.00856 | KS D-Max: 0.01982 | Dmix: 0.038498 | Digital Mix Speed: 760.625 | Time: 3.38s

[88/125] Analyzing (a=101, b=31, c=17)...
  ✓ Samples: 3,243,093 | Chi-Sq Stat: 34511.5267 | Chi-Sq p-value: 0.0 | MAD: 0.00855 | KS D-Max: 0.01982 | Dmix: 0.038463 | Digital Mix Speed: 761.516 | Time: 3.12s

[89/125] Analyzing (a=101, b=31, c=18)...
  ✓ Samples: 3,243,117 | Chi-Sq Stat: 34527.5151 | Chi-Sq p-value: 0.0 | MAD: 0.00855 | KS D-Max: 0.01980 | Dmix: 0.038469 | Digital Mix Speed: 761.516 | Time: 3.17s

[90/125] Analyzing (a=101, b=31, c=19)...
  ✓ Samples: 3,243,121 | Chi-Sq Stat: 34516.9130 | Chi-Sq p-value: 0.0 | MAD: 0.00855 | KS D-Max: 0.01981 | Dmix: 0.038461 | Digital Mix Speed: 761.516 | Time: 3.38s

[91/125] Analyzing (a=101, b=32, c=15)...
  ✓ Samples: 3,205,125 | Chi-Sq Stat: 90073.7737 | Chi-Sq p-value: 0.0 | MAD: 0.01643 | KS D-Max: 0.03103 | Dmix: 0.073942 | Digital Mix Speed: 395.974 | Time: 3.16s

[92/125] Analyzing (a=101, b=32, c=16)...
  ✓ Samples: 3,205,124 | Chi-Sq Stat: 90125.3698 | Chi-Sq p-value: 0.0 | MAD: 0.01644 | KS D-Max: 0.03105 | Dmix: 0.073979 | Digital Mix Speed: 395.733 | Time: 3.15s

[93/125] Analyzing (a=101, b=32, c=17)...
  ✓ Samples: 3,205,110 | Chi-Sq Stat: 90192.7645 | Chi-Sq p-value: 0.0 | MAD: 0.01644 | KS D-Max: 0.03107 | Dmix: 0.074000 | Digital Mix Speed: 395.733 | Time: 3.12s

[94/125] Analyzing (a=101, b=32, c=18)...
  ✓ Samples: 3,205,003 | Chi-Sq Stat: 90155.2840 | Chi-Sq p-value: 0.0 | MAD: 0.01644 | KS D-Max: 0.03105 | Dmix: 0.073980 | Digital Mix Speed: 395.732 | Time: 3.26s

[95/125] Analyzing (a=101, b=32, c=19)...
  ✓ Samples: 3,205,061 | Chi-Sq Stat: 90190.0179 | Chi-Sq p-value: 0.0 | MAD: 0.01644 | KS D-Max: 0.03107 | Dmix: 0.073991 | Digital Mix Speed: 395.732 | Time: 3.15s

[96/125] Analyzing (a=101, b=33, c=15)...
  ✓ Samples: 3,186,094 | Chi-Sq Stat: 3538.2080 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.00848 | Dmix: 0.014337 | Digital Mix Speed: 2038.639 | Time: 3.20s

[97/125] Analyzing (a=101, b=33, c=16)...
  ✓ Samples: 3,186,177 | Chi-Sq Stat: 3542.6565 | Chi-Sq p-value: 0.0 | MAD: 0.00319 | KS D-Max: 0.00848 | Dmix: 0.014336 | Digital Mix Speed: 2038.643 | Time: 3.24s

[98/125] Analyzing (a=101, b=33, c=17)...
