Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (18, 14, 15)
  ✓ Samples: 4,881,938 | Chi-Sq Stat: 1460.5645 | Chi-Sq p-value: 0.0 | MAD: 0.00160 | KS D-Max: 0.00720 | Dmix: 0.007205 | Digital Mix Speed: 4180.370 | Time: 5.18s

[59/1331] Analyzing (a=13, b=14, c=13)...
  ✓ Samples: 4,131,718 | Chi-Sq Stat: 18.0938 | Chi-Sq p-value: 0.02053 | MAD: 0.00019 | KS D-Max: 0.00085 | Dmix: 0.000846 | Digital Mix Speed: 34821.740 | Time: 4.48s

[60/1331] Analyzing (a=13, b=14, c=14)...
  ✓ Samples: 4,881,919 | Chi-Sq Stat: 1426.7386 | Chi-Sq p-value: 0.0 | MAD: 0.00159 | KS D-Max: 0.00715 | Dmix: 0.007149 | Digital Mix Speed: 4206.661 | Time: 5.24s

[61/1331] Analyzing (a=13, b=14, c=15)...
  ✓ Samples: 4,880,207 | Chi-Sq Stat: 1484.5727 | Chi-Sq p-value: 0.0 | MAD: 0.00162 | KS D-Max: 0.00730 | Dmix: 0.007299 | Digital Mix Speed: 4128.666 | Time: 5.34s

[62/1331] Analyzing (a=13, b=14, c=16)...
  ✓ Samples: 4,881,777 | Chi-Sq Stat: 1429.5110 | Chi-Sq p-value: 0.0 | MAD: 0.00160 | KS D-Max: 0.00722 | Dmix: 0.007221 | Digital Mix Speed: 4180.361 | Time: 5.33s

[63/1331] Analyzing (a=13, b=14, c=17)...
  ✓ Samples: 4,881,357 | Chi-Sq Stat: 1423.9085 | Chi-Sq p-value: 0.0 | MAD: 0.00161 | KS D-Max: 0.00724 | Dmix: 0.007238 | Digital Mix Speed: 4154.373 | Time: 5.40s

[64/1331] Analyzing (a=13, b=14, c=18)...
  ✓ Samples: 4,882,176 | Chi-Sq Stat: 1428.4547 | Chi-Sq p-value: 0.0 | MAD: 0.00159 | KS D-Max: 0.00717 | Dmix: 0.007167 | Digital Mix Speed: 4206.675 | Time: 5.27s

[65/1331] Analyzing (a=13, b=14, c=19)...
  ✓ Samples: 4,880,384 | Chi-Sq Stat: 1435.7874 | Chi-Sq p-value: 0.0 | MAD: 0.00161 | KS D-Max: 0.00725 | Dmix: 0.007255 | Digital Mix Speed: 4154.319 | Time: 5.36s

[66/1331] Analyzing (a=13, b=14, c=20)...
  ✓ Samples: 4,880,934 | Chi-Sq Stat: 1461.1415 | Chi-Sq p-value: 0.0 | MAD: 0.00162 | KS D-Max: 0.00729 | Dmix: 0.007287 | Digital Mix Speed: 4128.706 | Time: 5.15s

[67/1331] Analyzing (a=13, b=15, c=10)...
  ✓ Samples: 4,566,306 | Chi-Sq Stat: 1690.9055 | Chi-Sq p-value: 0.0 | MAD: 0.00164 | KS D-Max: 0.00740 | Dmix: 0.007400 | Digital Mix Speed: 4060.710 | Time: 4.90s

[68/1331] Analyzing (a=13, b=15, c=11)...
  ✓ Samples: 4,566,297 | Chi-Sq Stat: 1649.0770 | Chi-Sq p-value: 0.0 | MAD: 0.00165 | KS D-Max: 0.00741 | Dmix: 0.007405 | Digital Mix Speed: 4036.099 | Time: 4.70s

[69/1331] Analyzing (a=13, b=15, c=12)...
  ✓ Samples: 4,566,714 | Chi-Sq Stat: 1619.0842 | Chi-Sq p-value: 0.0 | MAD: 0.00161 | KS D-Max: 0.00727 | Dmix: 0.007267 | Digital Mix Speed: 4136.400 | Time: 4.90s

[70/1331] Analyzing (a=13, b=15, c=13)...
  ✓ Samples: 4,030,808 | Chi-Sq Stat: 436.9507 | Chi-Sq p-value: 0.0 | MAD: 0.00102 | KS D-Max: 0.00368 | Dmix: 0.004568 | Digital Mix Speed: 6475.875 | Time: 4.09s

[71/1331] Analyzing (a=13, b=15, c=14)...
  ✓ Samples: 4,566,106 | Chi-Sq Stat: 1648.3163 | Chi-Sq p-value: 0.0 | MAD: 0.00161 | KS D-Max: 0.00727 | Dmix: 0.007265 | Digital Mix Speed: 4136.364 | Time: 4.95s

[72/1331] Analyzing (a=13, b=15, c=15)...
  ✓ Samples: 4,566,790 | Chi-Sq Stat: 1670.6358 | Chi-Sq p-value: 0.0 | MAD: 0.00164 | KS D-Max: 0.00739 | Dmix: 0.007389 | Digital Mix Speed: 4060.738 | Time: 4.83s

[73/1331] Analyzing (a=13, b=15, c=16)...
  ✓ Samples: 4,567,038 | Chi-Sq Stat: 1699.6680 | Chi-Sq p-value: 0.0 | MAD: 0.00167 | KS D-Max: 0.00753 | Dmix: 0.007527 | Digital Mix Speed: 3987.805 | Time: 4.98s

[74/1331] Analyzing (a=13, b=15, c=17)...
  ✓ Samples: 4,567,301 | Chi-Sq Stat: 1662.5635 | Chi-Sq p-value: 0.0 | MAD: 0.00163 | KS D-Max: 0.00732 | Dmix: 0.007321 | Digital Mix Speed: 4085.681 | Time: 4.93s

[75/1331] Analyzing (a=13, b=15, c=18)...
  ✓ Samples: 4,566,271 | Chi-Sq Stat: 1635.0847 | Chi-Sq p-value: 0.0 | MAD: 0.00162 | KS D-Max: 0.00730 | Dmix: 0.007297 | Digital Mix Speed: 4110.841 | Time: 4.97s

[76/1331] Analyzing (a=13, b=15, c=19)...
  ✓ Samples: 4,566,831 | Chi-Sq Stat: 1620.3875 | Chi-Sq p-value: 0.0 | MAD: 0.00162 | KS D-Max: 0.00727 | Dmix: 0.007270 | Digital Mix Speed: 4110.873 | Time: 4.93s

[77/1331] Analyzing (a=13, b=15, c=20)...
  ✓ Samples: 4,566,308 | Chi-Sq Stat: 1674.3101 | Chi-Sq p-value: 0.0 | MAD: 0.00165 | KS D-Max: 0.00742 | Dmix: 0.007416 | Digital Mix Speed: 4036.100 | Time: 4.97s

[78/1331] Analyzing (a=13, b=16, c=10)...
  ✓ Samples: 3,955,802 | Chi-Sq Stat: 489.4875 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00189 | Dmix: 0.004734 | Digital Mix Speed: 6283.081 | Time: 3.93s

[79/1331] Analyzing (a=13, b=16, c=11)...
  ✓ Samples: 3,955,782 | Chi-Sq Stat: 486.8719 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00189 | Dmix: 0.004730 | Digital Mix Speed: 6283.078 | Time: 4.02s

[80/1331] Analyzing (a=13, b=16, c=12)...
  ✓ Samples: 3,955,752 | Chi-Sq Stat: 480.0997 | Chi-Sq p-value: 0.0 | MAD: 0.00104 | KS D-Max: 0.00190 | Dmix: 0.004683 | Digital Mix Speed: 6343.489 | Time: 4.09s

[81/1331] Analyzing (a=13, b=16, c=13)...
  ✓ Samples: 3,934,831 | Chi-Sq Stat: 760.0497 | Chi-Sq p-value: 0.0 | MAD: 0.00129 | KS D-Max: 0.00180 | Dmix: 0.005786 | Digital Mix Speed: 5112.346 | Time: 3.90s

[82/1331] Analyzing (a=13, b=16, c=14)...
  ✓ Samples: 3,955,778 | Chi-Sq Stat: 479.9452 | Chi-Sq p-value: 0.0 | MAD: 0.00104 | KS D-Max: 0.00188 | Dmix: 0.004693 | Digital Mix Speed: 6343.492 | Time: 4.04s

[83/1331] Analyzing (a=13, b=16, c=15)...
  ✓ Samples: 3,955,788 | Chi-Sq Stat: 482.3270 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00188 | Dmix: 0.004721 | Digital Mix Speed: 6283.079 | Time: 3.94s

[84/1331] Analyzing (a=13, b=16, c=16)...
  ✓ Samples: 3,955,797 | Chi-Sq Stat: 504.7498 | Chi-Sq p-value: 0.0 | MAD: 0.00107 | KS D-Max: 0.00188 | Dmix: 0.004810 | Digital Mix Speed: 6165.639 | Time: 4.14s

[85/1331] Analyzing (a=13, b=16, c=17)...
  ✓ Samples: 3,955,721 | Chi-Sq Stat: 490.7929 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00188 | Dmix: 0.004758 | Digital Mix Speed: 6223.798 | Time: 3.98s

[86/1331] Analyzing (a=13, b=16, c=18)...
  ✓ Samples: 3,955,773 | Chi-Sq Stat: 491.8540 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00188 | Dmix: 0.004765 | Digital Mix Speed: 6223.803 | Time: 3.95s

[87/1331] Analyzing (a=13, b=16, c=19)...
  ✓ Samples: 3,955,782 | Chi-Sq Stat: 485.3259 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00187 | Dmix: 0.004734 | Digital Mix Speed: 6283.078 | Time: 4.03s

[88/1331] Analyzing (a=13, b=16, c=20)...
  ✓ Samples: 3,955,781 | Chi-Sq Stat: 470.6757 | Chi-Sq p-value: 0.0 | MAD: 0.00103 | KS D-Max: 0.00187 | Dmix: 0.004653 | Digital Mix Speed: 6405.080 | Time: 3.98s

[89/1331] Analyzing (a=13, b=17, c=10)...
  ✓ Samples: 3,920,041 | Chi-Sq Stat: 807.6171 | Chi-Sq p-value: 0.0 | MAD: 0.00139 | KS D-Max: 0.00427 | Dmix: 0.006243 | Digital Mix Speed: 4743.375 | Time: 4.12s

[90/1331] Analyzing (a=13, b=17, c=11)...
  ✓ Samples: 3,919,987 | Chi-Sq Stat: 812.3716 | Chi-Sq p-value: 0.0 | MAD: 0.00138 | KS D-Max: 0.00422 | Dmix: 0.006189 | Digital Mix Speed: 4777.742 | Time: 3.97s

[91/1331] Analyzing (a=13, b=17, c=12)...
  ✓ Samples: 3,919,995 | Chi-Sq Stat: 782.6513 | Chi-Sq p-value: 0.0 | MAD: 0.00136 | KS D-Max: 0.00419 | Dmix: 0.006111 | Digital Mix Speed: 4848.004 | Time: 3.90s

[92/1331] Analyzing (a=13, b=17, c=13)...
  ✓ Samples: 3,847,440 | Chi-Sq Stat: 1522.5938 | Chi-Sq p-value: 0.0 | MAD: 0.00195 | KS D-Max: 0.00495 | Dmix: 0.008797 | Digital Mix Speed: 3377.011 | Time: 3.98s

[93/1331] Analyzing (a=13, b=17, c=14)...
  ✓ Samples: 3,919,911 | Chi-Sq Stat: 785.1838 | Chi-Sq p-value: 0.0 | MAD: 0.00136 | KS D-Max: 0.00421 | Dmix: 0.006119 | Digital Mix Speed: 4847.997 | Time: 4.06s

[94/1331] Analyzing (a=13, b=17, c=15)...
  ✓ Samples: 3,919,989 | Chi-Sq Stat: 783.2904 | Chi-Sq p-value: 0.0 | MAD: 0.00138 | KS D-Max: 0.00423 | Dmix: 0.006199 | Digital Mix Speed: 4777.743 | Time: 4.09s

[95/1331] Analyzing (a=13, b=17, c=16)...
  ✓ Samples: 3,919,789 | Chi-Sq Stat: 805.6256 | Chi-Sq p-value: 0.0 | MAD: 0.00137 | KS D-Max: 0.00423 | Dmix: 0.006183 | Digital Mix Speed: 4812.601 | Time: 3.90s

[96/1331] Analyzing (a=13, b=17, c=17)...
  ✓ Samples: 3,919,917 | Chi-Sq Stat: 782.7776 | Chi-Sq p-value: 0.0 | MAD: 0.00136 | KS D-Max: 0.00417 | Dmix: 0.006119 | Digital Mix Speed: 4847.998 | Time: 4.01s

[97/1331] Analyzing (a=13, b=17, c=18)...
