Added 0 trivial states as holes

=== SWISS CHEESE CUBE SCAN ===
Cube center: (13, 14, 12)
  ✓ Samples: 4,142,183 | Chi-Sq Stat: 59.5316 | Chi-Sq p-value: 0.0 | MAD: 0.00030 | KS D-Max: 0.00135 | Dmix: 0.001349 | Digital Mix Speed: 22057.431 | Time: 4.38s

[59/1331] Analyzing (a=8, b=14, c=10)...
  ✓ Samples: 4,179,394 | Chi-Sq Stat: 235.5283 | Chi-Sq p-value: 0.0 | MAD: 0.00067 | KS D-Max: 0.00301 | Dmix: 0.003008 | Digital Mix Speed: 9882.259 | Time: 4.33s

[60/1331] Analyzing (a=8, b=14, c=11)...
  ✓ Samples: 4,142,183 | Chi-Sq Stat: 59.3083 | Chi-Sq p-value: 0.0 | MAD: 0.00030 | KS D-Max: 0.00135 | Dmix: 0.001346 | Digital Mix Speed: 22057.431 | Time: 4.28s

[61/1331] Analyzing (a=8, b=14, c=12)...
  ✓ Samples: 4,682,529 | Chi-Sq Stat: 915.6101 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00556 | Dmix: 0.005555 | Digital Mix Speed: 5423.155 | Time: 5.18s

[62/1331] Analyzing (a=8, b=14, c=13)...
  ✓ Samples: 4,142,182 | Chi-Sq Stat: 59.0982 | Chi-Sq p-value: 0.0 | MAD: 0.00030 | KS D-Max: 0.00135 | Dmix: 0.001345 | Digital Mix Speed: 22057.431 | Time: 4.16s

[63/1331] Analyzing (a=8, b=14, c=14)...
  ✓ Samples: 4,179,463 | Chi-Sq Stat: 234.0881 | Chi-Sq p-value: 0.0 | MAD: 0.00066 | KS D-Max: 0.00297 | Dmix: 0.002971 | Digital Mix Speed: 10032.001 | Time: 4.36s

[64/1331] Analyzing (a=8, b=14, c=15)...
  ✓ Samples: 4,142,182 | Chi-Sq Stat: 59.6073 | Chi-Sq p-value: 0.0 | MAD: 0.00030 | KS D-Max: 0.00135 | Dmix: 0.001346 | Digital Mix Speed: 22057.431 | Time: 4.22s

[65/1331] Analyzing (a=8, b=14, c=16)...
  ✓ Samples: 5,525,895 | Chi-Sq Stat: 1229.4967 | Chi-Sq p-value: 0.0 | MAD: 0.00154 | KS D-Max: 0.00356 | Dmix: 0.006912 | Digital Mix Speed: 4378.184 | Time: 6.29s

[66/1331] Analyzing (a=8, b=14, c=17)...
  ✓ Samples: 4,142,177 | Chi-Sq Stat: 59.1270 | Chi-Sq p-value: 0.0 | MAD: 0.00030 | KS D-Max: 0.00134 | Dmix: 0.001343 | Digital Mix Speed: 22057.429 | Time: 4.26s

[67/1331] Analyzing (a=8, b=15, c=7)...
  ✓ Samples: 4,056,793 | Chi-Sq Stat: 476.0308 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00419 | Dmix: 0.004782 | Digital Mix Speed: 6234.135 | Time: 4.44s

[68/1331] Analyzing (a=8, b=15, c=8)...
  ✓ Samples: 4,041,208 | Chi-Sq Stat: 439.0756 | Chi-Sq p-value: 0.0 | MAD: 0.00103 | KS D-Max: 0.00376 | Dmix: 0.004614 | Digital Mix Speed: 6414.089 | Time: 4.10s

[69/1331] Analyzing (a=8, b=15, c=9)...
  ✓ Samples: 4,056,785 | Chi-Sq Stat: 471.1667 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00418 | Dmix: 0.004759 | Digital Mix Speed: 6234.134 | Time: 4.20s

[70/1331] Analyzing (a=8, b=15, c=10)...
  ✓ Samples: 4,056,776 | Chi-Sq Stat: 464.2630 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00416 | Dmix: 0.004729 | Digital Mix Speed: 6293.506 | Time: 4.06s

[71/1331] Analyzing (a=8, b=15, c=11)...
  ✓ Samples: 4,056,785 | Chi-Sq Stat: 470.2774 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00417 | Dmix: 0.004759 | Digital Mix Speed: 6234.134 | Time: 4.14s

[72/1331] Analyzing (a=8, b=15, c=12)...
  ✓ Samples: 4,056,801 | Chi-Sq Stat: 468.0434 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00417 | Dmix: 0.004741 | Digital Mix Speed: 6293.508 | Time: 4.33s

[73/1331] Analyzing (a=8, b=15, c=13)...
  ✓ Samples: 4,056,788 | Chi-Sq Stat: 466.0783 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00416 | Dmix: 0.004735 | Digital Mix Speed: 6293.507 | Time: 4.23s

[74/1331] Analyzing (a=8, b=15, c=14)...
  ✓ Samples: 4,056,793 | Chi-Sq Stat: 471.6156 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00418 | Dmix: 0.004761 | Digital Mix Speed: 6234.135 | Time: 4.27s

[75/1331] Analyzing (a=8, b=15, c=15)...
  ✓ Samples: 4,056,798 | Chi-Sq Stat: 463.5517 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00416 | Dmix: 0.004719 | Digital Mix Speed: 6293.508 | Time: 4.07s

[76/1331] Analyzing (a=8, b=15, c=16)...
  ✓ Samples: 4,041,201 | Chi-Sq Stat: 442.8197 | Chi-Sq p-value: 0.0 | MAD: 0.00103 | KS D-Max: 0.00376 | Dmix: 0.004628 | Digital Mix Speed: 6414.088 | Time: 4.19s

[77/1331] Analyzing (a=8, b=15, c=17)...
  ✓ Samples: 4,056,593 | Chi-Sq Stat: 468.7172 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00417 | Dmix: 0.004750 | Digital Mix Speed: 6234.115 | Time: 4.18s

[78/1331] Analyzing (a=8, b=16, c=7)...
  ✓ Samples: 3,945,199 | Chi-Sq Stat: 670.8590 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00191 | Dmix: 0.005529 | Digital Mix Speed: 5362.658 | Time: 4.16s

[79/1331] Analyzing (a=8, b=16, c=8)...
  ✓ Samples: 15,296,210 | Chi-Sq Stat: 1234.7417 | Chi-Sq p-value: 0.0 | MAD: 0.00089 | KS D-Max: 0.00215 | Dmix: 0.003984 | Digital Mix Speed: 8072.566 | Time: 25.60s

[80/1331] Analyzing (a=8, b=16, c=9)...
  ✓ Samples: 3,945,199 | Chi-Sq Stat: 672.7400 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00192 | Dmix: 0.005535 | Digital Mix Speed: 5362.658 | Time: 4.05s

[81/1331] Analyzing (a=8, b=16, c=10)...
  ✓ Samples: 3,945,199 | Chi-Sq Stat: 670.7321 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00192 | Dmix: 0.005530 | Digital Mix Speed: 5362.658 | Time: 4.13s

[82/1331] Analyzing (a=8, b=16, c=11)...
  ✓ Samples: 3,945,199 | Chi-Sq Stat: 671.6503 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00192 | Dmix: 0.005537 | Digital Mix Speed: 5362.658 | Time: 4.05s

[83/1331] Analyzing (a=8, b=16, c=12)...
  ✓ Samples: 3,945,196 | Chi-Sq Stat: 669.2128 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00192 | Dmix: 0.005527 | Digital Mix Speed: 5362.657 | Time: 4.05s

[84/1331] Analyzing (a=8, b=16, c=13)...
  ✓ Samples: 3,945,196 | Chi-Sq Stat: 669.2476 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00191 | Dmix: 0.005529 | Digital Mix Speed: 5362.657 | Time: 3.89s

[85/1331] Analyzing (a=8, b=16, c=14)...
  ✓ Samples: 3,945,196 | Chi-Sq Stat: 669.2921 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00191 | Dmix: 0.005529 | Digital Mix Speed: 5362.657 | Time: 3.94s

[86/1331] Analyzing (a=8, b=16, c=15)...
  ✓ Samples: 3,945,196 | Chi-Sq Stat: 668.4147 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00191 | Dmix: 0.005526 | Digital Mix Speed: 5362.657 | Time: 4.11s

[87/1331] Analyzing (a=8, b=16, c=16)...
  ✓ Samples: 15,403,695 | Chi-Sq Stat: 1099.5541 | Chi-Sq p-value: 0.0 | MAD: 0.00084 | KS D-Max: 0.00190 | Dmix: 0.003768 | Digital Mix Speed: 8556.696 | Time: 25.12s

[88/1331] Analyzing (a=8, b=16, c=17)...
  ✓ Samples: 3,945,196 | Chi-Sq Stat: 668.8846 | Chi-Sq p-value: 0.0 | MAD: 0.00123 | KS D-Max: 0.00191 | Dmix: 0.005519 | Digital Mix Speed: 5362.657 | Time: 4.12s

[89/1331] Analyzing (a=8, b=17, c=7)...
  ✓ Samples: 4,825,227 | Chi-Sq Stat: 1001.6702 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00457 | Dmix: 0.004703 | Digital Mix Speed: 6365.255 | Time: 5.22s

[90/1331] Analyzing (a=8, b=17, c=8)...
  ✓ Samples: 3,857,593 | Chi-Sq Stat: 1427.8661 | Chi-Sq p-value: 0.0 | MAD: 0.00187 | KS D-Max: 0.00495 | Dmix: 0.008422 | Digital Mix Speed: 3522.094 | Time: 4.07s

[91/1331] Analyzing (a=8, b=17, c=9)...
  ✓ Samples: 4,825,124 | Chi-Sq Stat: 900.8051 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00442 | Dmix: 0.004748 | Digital Mix Speed: 6305.197 | Time: 5.28s

[92/1331] Analyzing (a=8, b=17, c=10)...
  ✓ Samples: 3,925,895 | Chi-Sq Stat: 867.4785 | Chi-Sq p-value: 0.0 | MAD: 0.00135 | KS D-Max: 0.00497 | Dmix: 0.006069 | Digital Mix Speed: 4884.399 | Time: 4.14s

[93/1331] Analyzing (a=8, b=17, c=11)...
  ✓ Samples: 4,826,165 | Chi-Sq Stat: 974.4617 | Chi-Sq p-value: 0.0 | MAD: 0.00105 | KS D-Max: 0.00463 | Dmix: 0.004717 | Digital Mix Speed: 6365.335 | Time: 5.20s

[94/1331] Analyzing (a=8, b=17, c=12)...
  ✓ Samples: 3,873,351 | Chi-Sq Stat: 1096.8117 | Chi-Sq p-value: 0.0 | MAD: 0.00160 | KS D-Max: 0.00476 | Dmix: 0.007220 | Digital Mix Speed: 4117.554 | Time: 3.95s

[95/1331] Analyzing (a=8, b=17, c=13)...
  ✓ Samples: 4,825,241 | Chi-Sq Stat: 945.9860 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00460 | Dmix: 0.004792 | Digital Mix Speed: 6305.207 | Time: 5.21s

[96/1331] Analyzing (a=8, b=17, c=14)...
  ✓ Samples: 3,925,827 | Chi-Sq Stat: 851.7478 | Chi-Sq p-value: 0.0 | MAD: 0.00134 | KS D-Max: 0.00494 | Dmix: 0.006041 | Digital Mix Speed: 4920.844 | Time: 4.07s

[97/1331] Analyzing (a=8, b=17, c=15)...
  ✓ Samples: 4,824,080 | Chi-Sq Stat: 938.8901 | Chi-Sq p-value: 0.0 | MAD: 0.00106 | KS D-Max: 0.00459 | Dmix: 0.004755 | Digital Mix Speed: 6305.108 | Time: 5.20s

